dest_ip,cmdb_bu_owner,cmdb_application_name,cmdb_system_owner,cmdb_app_lifecycle,cmdb_s_ox,cmdb_GLBA,cmdb_app_uses_ssn,cmdb_credit_card_data,cmdb_priority,cmdb_server_software,cmdb_supported_by,cmdb_server_phase,cmdb_db_server,cmdb_db_name,cmdb_PCI,cmdb_PII,cmdb_safe_harbor
192.168.56.102,Sales,Laptop,chris.gilbert@buttercupgames.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
172.20.12.224,Marketing,Laptop,monte@demo.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
172.20.10.217,eCommerce,Laptop,modesto@demo.com,Staging,Yes,Yes,No,Yes,Tier 1,Windows7,Internal,Deployed,Y,Oracle,Yes,Yes,Yes
172.20.15.229,eCommerce,Laptop,modesto@demo.com,Staging,Yes,Yes,No,Yes,Tier 1,Windows7,Internal,Deployed,Y,Oracle,Yes,Yes,Yes
172.20.11.168,Marketing,Laptop,jeremiah@demo.com,Production,No,No,Yes,Yes,Tier 3,Windows7,Internal,Deployed,N,N/A,Yes,Yes,No
12.130.60.4,Finance,SAP,Steve_jones@acme.com,Production,Yes,Yes,No,,Tier 1,RedHat 6.1,SAP,Deployed,Y,Sybase,No ,No ,No
12.130.60.5,Finance,SAP,Steve_jones@acme.com,Production,Yes,Yes,No,,Tier 1,RedHat 6.1,SAP,Deployed,Y,Sybase,No ,No ,No
125.17.14.100,Finance,SAP,Steve_jones@acme.com,Production,Yes,Yes,No,No,Tier 1,AIX 6.0,SAP,Deployed,Y,Sybase,No ,No ,No
128.241.220.82,Finance,SAP,Steve_jones@acme.com,Production,Yes,Yes,No,No,Tier 1,AIX 6.0,SAP,Deployed,Y,Sybase,No ,No ,No
130.253.37.97,Development,Test Env,Billy_Williams@acme.com,Development,No,No,No,No,Tier 2,WIN2005-server,SAP,Deployed,N,N/A,No ,No ,No
131.178.233.243,Development,Test Env,Billy_Williams@acme.com,Development,No,No,No,No,Tier 2,WIN2005-server,Internal,Deployed,N,N/A,No ,No ,No
141.146.8.66,Development,Test Env,Billy_Williams@acme.com,Development,No,No,No,No,Tier 2,AIX 6.0,Internal,Deployed,N,N/A,No ,No ,No
142.162.221.28,Development,Test Env,Billy_Williams@acme.com,Development,No,No,No,No,Tier 2,RedHat 6.1,Internal,Deployed,N,N/A,No ,No ,No
142.233.200.21,Development,Test Env,Billy_Williams@acme.com,Development,No,No,No,No,Tier 2,RedHat 6.1,Internal,Deployed,N,N/A,No ,No ,No
194.215.205.19,Development,Test Env,Billy_Williams@acme.com,Development,No,No,No,No,Tier 2,RedHat 6.1,Internal,Deployed,N,N/A,No ,No ,No
201.122.42.235,Marketing,Desktop,Julie_Smith@acme.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
201.28.109.162,Marketing,Desktop,Sam_Williams@acme.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
201.3.120.132,Marketing,Desktop,grumpy@acme.com,Production,No,No,Yes,No,Tier 3,Windows7,Internal,Deployed,N,N/A,Yes,Yes,No
201.42.223.29,Finance,Desktop,sleepy@acme.com,Production,Yes,Yes,Yes,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
203.92.58.136,Finance,Desktop,dopey@acme.com,Production,Yes,Yes,Yes,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
212.235.92.150,Executive,Desktop,happy@acme.com,Proiduction,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
212.27.63.151,Marketing,Desktop,Jeff_Scott@acme.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
217.132.169.69,eCommerce,Oracle DB,helpdesk@ibm.com,Staging,Yes,Yes,No,Yes,Tier 1,RedHat 6.1,Internal,Deployed,Y,Oracle,Yes,Yes,Yes
59.162.167.100,eCommerce,Oracle DB,helpdesk@ibm.com,Production,Yes,Yes,No,Yes,Tier 1,RedHat 6.1,Internal,Deployed,Y,Oracle,Yes,Yes,Yes
74.125.19.106,eCommerce,Oracle DB,helpdesk@ibm.com,Production,Yes,Yes,No,Yes,Tier 1,RedHat 6.1,Internal,Deployed,Y,Oracle,Yes,Yes,Yes
81.11.191.113,,Accovia - Logitours/Respro (DLR),,Production,No,No,No,,Tier 1,Solaris 10,IBM,Supporting,N,N/A,No,No,No
82.245.228.36,HR,Laptop,Randy_Perkinks@acme.com,Production,No,No,Yes,Yes,Tier 3,Windows7,Internal,Deployed,N,N/A,Yes,Yes,No
84.34.159.23,HR,Laptop,June_Lockhart@acme.com,Production,No,No,Yes,Yes,Tier 3,Windows7,Internal,Deployed,N,N/A,Yes,Yes,No
86.212.199.60,HR,Laptop,Betty_White@acme.com,Production,No,No,Yes,Yes,Tier 3,Windows7,Internal,Deployed,N,N/A,Yes,Yes,No
86.9.190.90,HR,Laptop,Shell_help@shell.com,Production,No,No,Yes,Yes,Tier 3,Windows7,Internal,Deployed,N,N/A,Yes,Yes,No
87.194.216.51,Executive,Laptop,Sam_Perkins@acme.com,Production,Yes,Yes,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
89.167.143.32,Executive,Laptop,Phil_Silvers@acme.com,Production,Yes,Yes,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
90.205.111.169,Executive,Laptop,Buster_Keaton@acme.com,Production,Yes,Yes,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
92.1.170.135,Support,Laptop,Tim_burton@acme.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
1.16.0.0,Support,Laptop,Jim_hendrix@acme.com,Production,No,No,No,No,Tier 3,Windows7,Internal,Deployed,N,N/A,No ,No ,No
